,PROSPECTID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL
5465,5466,4,2,2,2,1,0.5,0.25,0.5,0.5,2,1,0.5,0.25,1,0,0,2,0,0,0,1,3,2,93,2
5466,5467,9,8,1,1,0,0.111,0.0,0.111,0.889,1,0,0.111,0.0,1,1,0,1,7,0,0,8,1,0,38,1
5467,5468,4,2,2,1,1,0.25,0.25,0.5,0.5,2,2,0.5,0.5,0,0,0,3,0,0,1,0,4,0,32,3
5468,5469,3,1,2,2,1,0.667,0.333,0.667,0.333,3,1,1.0,0.333,0,0,0,2,0,0,0,1,2,1,10,5
5469,5470,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,15,15
5470,5471,6,4,2,0,0,0.0,0.0,0.333,0.667,1,0,0.167,0.0,1,1,0,0,3,0,0,5,1,2,59,12
5471,5472,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,1,0,0,0,1,0,0,1,0,0,8,8
5472,5473,1,1,0,0,1,0.0,1.0,0.0,1.0,1,1,1.0,1.0,0,0,0,1,0,0,0,0,1,0,10,10
5473,5474,2,1,1,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.0,0,0,0,0,0,0,0,2,0,2,54,9
5474,5475,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,10,10
5475,5476,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,0,0,0,0,0,1,0,1,0,32,32
5476,5477,1,1,0,0,1,0.0,1.0,0.0,1.0,1,1,1.0,1.0,0,0,0,1,0,0,0,0,1,0,10,10
5477,5478,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,1,0,0,1,0,0,0,0,1,0,3,3
5478,5479,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,55,55
5479,5480,3,1,2,1,0,0.333,0.0,0.667,0.333,2,0,0.667,0.0,0,0,0,2,0,0,0,0,3,1,40,3
5480,5481,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,0,0,0,0,0,0,1,0,1,29,29
5481,5482,40,22,18,2,1,0.05,0.025,0.45,0.55,8,3,0.2,0.075,15,1,1,1,19,0,0,35,5,18,74,4
5482,5483,9,3,6,6,3,0.667,0.333,0.667,0.333,7,3,0.778,0.333,2,0,0,1,0,0,6,1,8,2,36,3
5483,5484,1,1,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0,0,0,1,0,0,0,0,1,0,16,16
5484,5485,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,96,96
5485,5486,11,4,7,5,1,0.455,0.091,0.636,0.364,8,4,0.727,0.364,6,0,0,1,10,0,0,10,1,0,23,1
5486,5487,1,1,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,36,36
5487,5488,3,0,3,2,0,0.667,0.0,1.0,0.0,2,0,0.667,0.0,2,1,0,1,0,0,1,1,2,0,87,3
5488,5489,4,4,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,4,0,0,4,0,0,104,86
5489,5490,3,2,1,0,0,0.0,0.0,0.333,0.667,0,0,0.0,0.0,0,0,0,0,0,1,2,1,2,0,113,62
5490,5491,12,9,3,1,3,0.083,0.25,0.25,0.75,2,4,0.167,0.333,1,2,0,7,0,0,1,2,10,2,88,2
5491,5492,9,5,4,3,2,0.333,0.222,0.444,0.556,3,2,0.333,0.222,4,0,0,0,8,0,0,8,1,1,69,5
5492,5493,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,9,9
5493,5494,23,22,1,0,0,0.0,0.0,0.043,0.957,0,0,0.0,0.0,0,1,0,0,22,0,0,23,0,0,60,16
5494,5495,5,2,3,3,2,0.6,0.4,0.6,0.4,3,2,0.6,0.4,1,2,0,2,1,0,0,3,2,0,32,2
5495,5496,3,2,1,0,0,0.0,0.0,0.333,0.667,0,1,0.0,0.333,1,0,0,1,0,0,2,0,3,0,56,18
5496,5497,7,3,4,1,0,0.143,0.0,0.571,0.429,3,1,0.429,0.143,1,2,0,1,0,0,4,2,5,0,172,2
5497,5498,2,2,0,0,1,0.0,0.5,0.0,1.0,0,1,0.0,0.5,0,0,0,2,0,0,0,0,2,0,24,16
5498,5499,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,39,39
5499,5500,12,5,7,2,2,0.167,0.167,0.583,0.417,2,2,0.167,0.167,1,3,1,0,0,4,2,8,4,2,229,4
5500,5501,3,0,3,2,0,0.667,0.0,1.0,0.0,3,0,1.0,0.0,0,0,0,2,0,0,0,0,3,1,6,3
5501,5502,2,1,1,1,1,0.5,0.5,0.5,0.5,2,1,1.0,0.5,0,1,0,0,1,0,0,2,0,0,8,5
5502,5503,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,162,162
5503,5504,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,77,77
5504,5505,13,12,1,1,1,0.077,0.077,0.077,0.923,1,2,0.077,0.154,0,0,0,1,11,0,1,11,2,0,89,5
5505,5506,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,38,38
5506,5507,3,2,1,2,2,0.667,0.667,0.333,0.667,2,2,0.667,0.667,0,0,0,0,3,0,0,3,0,0,13,4
5507,5508,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,1,1,0,0,0,0,0,1,0,0,8,8
5508,5509,3,0,3,0,0,0.0,0.0,1.0,0.0,2,0,0.667,0.0,0,1,0,2,0,0,0,1,2,0,32,6
5509,5510,7,3,4,1,3,0.143,0.429,0.571,0.429,1,3,0.143,0.429,1,1,0,6,0,0,0,1,6,0,23,3
5510,5511,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,75,75
5511,5512,9,9,0,0,1,0.0,0.111,0.0,1.0,1,1,0.111,0.111,0,0,0,0,9,0,0,9,0,0,44,7
5512,5513,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,24,24
5513,5514,3,2,1,0,0,0.0,0.0,0.333,0.667,0,0,0.0,0.0,0,1,0,2,0,0,0,1,2,0,62,24
5514,5515,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,14,14
5515,5516,4,3,1,0,0,0.0,0.0,0.25,0.75,0,0,0.0,0.0,0,1,0,0,2,0,0,3,1,1,60,13
5516,5517,4,3,1,0,0,0.0,0.0,0.25,0.75,1,0,0.25,0.0,0,1,0,0,2,0,0,3,1,1,109,10
5517,5518,13,7,6,4,6,0.308,0.462,0.462,0.538,8,6,0.615,0.462,0,0,0,12,0,0,0,0,13,1,37,3
5518,5519,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,125,125
5519,5520,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,1,1,0,0,0,0,0,1,0,0,7,7
5520,5521,2,1,1,0,1,0.0,0.5,0.5,0.5,1,1,0.5,0.5,0,0,0,1,0,0,1,0,2,0,16,7
5521,5522,8,6,2,0,0,0.0,0.0,0.25,0.75,2,0,0.25,0.0,1,1,0,1,4,0,0,6,2,2,53,7
5522,5523,2,1,1,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.0,1,0,0,0,0,0,0,2,0,2,86,8
5523,5524,2,1,1,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,1,0,0,0,0,1,1,1,0,85,28
5524,5525,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,28,28
5525,5526,9,6,3,0,0,0.0,0.0,0.333,0.667,2,0,0.222,0.0,0,1,0,0,6,0,1,7,2,1,96,6
5526,5527,2,0,2,2,0,1.0,0.0,1.0,0.0,2,0,1.0,0.0,1,0,0,0,0,0,0,0,2,2,6,4
5527,5528,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,21,21
5528,5529,11,7,4,0,0,0.0,0.0,0.364,0.636,2,0,0.182,0.0,0,0,0,1,0,0,0,8,3,10,83,9
5529,5530,13,12,1,0,0,0.0,0.0,0.077,0.923,0,0,0.0,0.0,1,3,0,2,8,0,0,11,2,0,98,20
5530,5531,2,0,2,1,0,0.5,0.0,1.0,0.0,1,0,0.5,0.0,0,1,0,0,0,0,0,1,1,1,50,3
5531,5532,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,52,52
5532,5533,5,3,2,3,1,0.6,0.2,0.4,0.6,3,2,0.6,0.4,0,0,2,0,0,0,3,0,5,0,166,4
5533,5534,2,2,0,0,1,0.0,0.5,0.0,1.0,1,1,0.5,0.5,0,0,0,1,1,0,0,1,1,0,27,9
5534,5535,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,72,72
5535,5536,66,57,9,9,9,0.136,0.136,0.136,0.864,15,13,0.227,0.197,7,1,0,1,64,0,0,65,1,0,96,1
5536,5537,2,0,2,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,2,1,18,18
5537,5538,11,11,0,0,1,0.0,0.091,0.0,1.0,1,2,0.091,0.182,0,0,0,2,9,0,0,9,2,0,43,11
5538,5539,3,0,3,2,0,0.667,0.0,1.0,0.0,2,0,0.667,0.0,0,1,0,2,0,0,0,1,2,0,35,3
5539,5540,3,3,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,3,0,0,3,0,0,32,17
5540,5541,2,0,2,0,0,0.0,0.0,1.0,0.0,1,0,0.5,0.0,0,1,0,1,0,0,0,1,1,0,41,7
5541,5542,2,0,2,1,0,0.5,0.0,1.0,0.0,1,0,0.5,0.0,1,0,0,1,0,0,0,0,2,1,28,2
5542,5543,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,21,21
5543,5544,4,1,3,1,1,0.25,0.25,0.75,0.25,2,1,0.5,0.25,1,2,0,0,2,0,0,4,0,0,60,4
5544,5545,4,2,2,2,0,0.5,0.0,0.5,0.5,2,0,0.5,0.0,0,2,0,0,1,0,0,4,0,1,65,4
5545,5546,7,5,2,0,2,0.0,0.286,0.286,0.714,0,2,0.0,0.286,0,1,1,3,0,0,1,1,6,1,39,15
5546,5547,2,1,1,0,1,0.0,0.5,0.5,0.5,1,1,0.5,0.5,0,0,0,2,0,0,0,0,2,0,38,9
5547,5548,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,0,1,1,0,0,0,0,1,1,0,8,5
5548,5549,7,0,7,0,0,0.0,0.0,1.0,0.0,4,0,0.571,0.0,0,0,0,3,0,0,0,0,7,4,14,11
5549,5550,35,31,4,0,0,0.0,0.0,0.114,0.886,1,0,0.029,0.0,0,0,0,0,32,0,0,35,0,3,71,6
5550,5551,9,8,1,1,0,0.111,0.0,0.111,0.889,1,1,0.111,0.111,1,0,0,1,8,0,0,8,1,0,56,4
5551,5552,5,4,1,0,1,0.0,0.2,0.2,0.8,1,2,0.2,0.4,0,2,0,0,0,0,0,5,0,3,80,8
5552,5553,3,2,1,0,0,0.0,0.0,0.333,0.667,0,0,0.0,0.0,0,0,0,0,0,0,0,2,1,3,13,13
5553,5554,10,1,9,4,1,0.4,0.1,0.9,0.1,8,1,0.8,0.1,2,0,4,2,0,0,4,0,10,0,13,2
5554,5555,10,4,6,0,0,0.0,0.0,0.6,0.4,2,1,0.2,0.1,2,0,0,0,4,0,0,7,3,6,51,7
5555,5556,3,1,2,0,0,0.0,0.0,0.667,0.333,1,1,0.333,0.333,0,1,0,2,0,0,0,1,2,0,17,9
5556,5557,16,13,3,1,1,0.062,0.062,0.188,0.812,2,1,0.125,0.062,1,0,0,2,9,0,1,13,3,4,78,2
5557,5558,1,1,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0,0,0,1,0,0,0,0,1,0,18,18
5558,5559,7,6,1,2,3,0.286,0.429,0.143,0.857,3,4,0.429,0.571,1,0,0,0,7,0,0,7,0,0,29,1
5559,5560,1,1,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0,0,0,1,0,0,0,0,1,0,15,15
5560,5561,23,17,6,0,0,0.0,0.0,0.261,0.739,1,2,0.043,0.087,1,0,0,1,9,0,0,19,4,13,73,11
5561,5562,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,0,0,0,1,1,7,7
5562,5563,3,1,2,0,0,0.0,0.0,0.667,0.333,2,0,0.667,0.0,1,1,0,1,0,0,0,1,2,1,47,7
5563,5564,3,0,3,1,0,0.333,0.0,1.0,0.0,2,0,0.667,0.0,0,1,0,1,0,1,0,2,1,0,32,6
5564,5565,5,4,1,1,0,0.2,0.0,0.2,0.8,1,0,0.2,0.0,0,0,0,1,4,0,0,4,1,0,25,6
5565,5566,2,2,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,0.5,0,1,0,0,1,0,0,2,0,0,39,24
5566,5567,8,5,3,3,2,0.375,0.25,0.375,0.625,4,3,0.5,0.375,1,0,0,0,6,0,0,6,2,2,54,1
5567,5568,10,5,5,2,4,0.2,0.4,0.5,0.5,6,5,0.6,0.5,1,1,0,3,0,0,0,4,6,6,32,2
5568,5569,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,9,9
5569,5570,8,2,6,2,2,0.25,0.25,0.75,0.25,5,2,0.625,0.25,2,1,0,4,0,0,0,1,7,3,24,5
5570,5571,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,23,23
5571,5572,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,7,7
5572,5573,11,8,3,0,0,0.0,0.0,0.273,0.727,1,1,0.091,0.091,0,1,0,2,2,1,2,4,7,3,184,7
5573,5574,32,31,1,0,0,0.0,0.0,0.031,0.969,0,0,0.0,0.0,0,0,0,0,32,0,0,32,0,0,57,18
5574,5575,2,1,1,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,1,0,0,0,2,0,0,2,0,0,51,40
5575,5576,6,3,3,0,1,0.0,0.167,0.5,0.5,3,1,0.5,0.167,2,1,0,2,3,0,0,4,2,0,21,7
5576,5577,3,3,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,3,0,0,3,0,0,21,18
5577,5578,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,10,10
5578,5579,20,18,2,0,0,0.0,0.0,0.1,0.9,1,0,0.05,0.0,0,0,0,1,18,0,0,18,2,1,42,8
5579,5580,15,13,2,1,1,0.067,0.067,0.133,0.867,1,1,0.067,0.067,1,0,0,0,15,0,0,15,0,0,45,3
5580,5581,5,3,2,0,0,0.0,0.0,0.4,0.6,0,0,0.0,0.0,0,0,0,0,5,0,0,5,0,0,47,15
5581,5582,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,0,0,0,2,0,0,0,0,2,0,9,3
5582,5583,6,0,6,5,0,0.833,0.0,1.0,0.0,6,0,1.0,0.0,4,0,0,3,0,0,0,0,6,3,6,2
5583,5584,4,0,4,1,0,0.25,0.0,1.0,0.0,4,0,1.0,0.0,1,2,1,1,0,0,0,2,2,0,10,5
5584,5585,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,7,7
5585,5586,6,3,3,0,0,0.0,0.0,0.5,0.5,1,1,0.167,0.167,0,0,0,0,6,0,0,6,0,0,20,11
5586,5587,5,3,2,2,0,0.4,0.0,0.4,0.6,2,0,0.4,0.0,2,2,0,1,0,0,0,3,2,2,103,3
5587,5588,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,5,5
5588,5589,2,0,2,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,1,0,0,1,0,1,1,0,25,22
5589,5590,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,16,16
5590,5591,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,7,7
5591,5592,12,10,2,0,1,0.0,0.083,0.167,0.833,2,4,0.167,0.333,0,0,0,0,11,0,0,12,0,1,30,8
5592,5593,2,0,2,0,0,0.0,0.0,1.0,0.0,2,0,1.0,0.0,1,0,0,1,0,0,0,0,2,1,8,8
5593,5594,17,15,2,0,0,0.0,0.0,0.118,0.882,0,2,0.0,0.118,0,2,0,0,14,1,0,17,0,0,65,16
5594,5595,25,17,8,1,2,0.04,0.08,0.32,0.68,2,3,0.08,0.12,2,1,0,1,6,0,0,7,18,17,110,4
5595,5596,5,4,1,0,1,0.0,0.2,0.2,0.8,0,1,0.0,0.2,0,3,0,0,0,1,0,5,0,1,162,30
5596,5597,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,90,90
5597,5598,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,14,14
5598,5599,2,1,1,0,0,0.0,0.0,0.5,0.5,1,1,0.5,0.5,0,1,0,1,0,0,0,1,1,0,32,7
5599,5600,2,1,1,1,0,0.5,0.0,0.5,0.5,1,0,0.5,0.0,0,1,0,1,0,0,0,1,1,0,21,3
5600,5601,1,1,0,0,1,0.0,1.0,0.0,1.0,1,1,1.0,1.0,0,0,0,1,0,0,0,0,1,0,10,10
5601,5602,2,1,1,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.0,0,0,0,0,1,0,0,2,0,1,88,12
5602,5603,2,1,1,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,0,0,0,0,0,2,0,2,0,54,19
5603,5604,8,3,5,1,1,0.125,0.125,0.625,0.375,4,1,0.5,0.125,2,0,0,2,4,0,1,5,3,1,31,2
5604,5605,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,1,1,0,0,0,0,0,1,0,0,12,12
5605,5606,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,9,9
5606,5607,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,19,19
5607,5608,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,68,68
5608,5609,2,1,1,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.0,0,1,0,0,1,0,0,2,0,0,61,8
5609,5610,2,0,2,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1,0,0,1,0,0,0,0,2,1,19,19
5610,5611,22,16,6,0,0,0.0,0.0,0.273,0.727,1,0,0.045,0.0,1,1,1,0,18,0,2,19,3,0,102,12
5611,5612,3,0,3,3,0,1.0,0.0,1.0,0.0,3,0,1.0,0.0,0,0,0,2,0,0,0,0,3,1,5,3
5612,5613,5,3,2,0,2,0.0,0.4,0.4,0.6,0,2,0.0,0.4,0,0,1,3,0,0,0,1,4,1,34,17
5613,5614,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,67,67
5614,5615,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,50,50
5615,5616,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,1,1,0,1,0,0,0,1,1,0,9,2
5616,5617,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,13,13
5617,5618,9,7,2,2,1,0.222,0.111,0.222,0.778,2,1,0.222,0.111,1,0,0,0,6,0,0,9,0,3,27,3
5618,5619,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,27,27
5619,5620,3,0,3,1,0,0.333,0.0,1.0,0.0,1,0,0.333,0.0,0,0,0,0,0,0,3,0,3,0,43,2
5620,5621,6,1,5,4,0,0.667,0.0,0.833,0.167,4,1,0.667,0.167,2,0,0,4,0,0,0,0,6,2,21,2
5621,5622,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,12,12
5622,5623,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,47,47
5623,5624,5,2,3,0,0,0.0,0.0,0.6,0.4,1,0,0.2,0.0,0,0,0,0,5,0,0,5,0,0,29,12
5624,5625,4,1,3,0,0,0.0,0.0,0.75,0.25,0,0,0.0,0.0,1,3,0,0,0,0,0,4,0,1,98,17
5625,5626,6,6,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,6,0,0,6,0,0,69,60
5626,5627,1,1,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,33,33
5627,5628,3,2,1,0,0,0.0,0.0,0.333,0.667,0,0,0.0,0.0,1,0,0,0,2,0,0,2,1,1,19,17
5628,5629,4,4,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,4,0,0,4,0,0,83,61
5629,5630,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,154,154
5630,5631,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,1,1,0,0,0,0,0,1,0,0,8,8
5631,5632,2,1,1,1,0,0.5,0.0,0.5,0.5,2,1,1.0,0.5,1,0,0,1,0,0,0,1,1,1,8,4
5632,5633,6,5,1,0,1,0.0,0.167,0.167,0.833,1,2,0.167,0.333,0,1,3,0,1,0,1,2,4,0,98,12
5633,5634,4,1,3,1,0,0.25,0.0,0.75,0.25,2,0,0.5,0.0,3,0,0,0,2,0,0,3,1,2,52,3
5634,5635,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,84,84
5635,5636,5,1,4,3,0,0.6,0.0,0.8,0.2,4,0,0.8,0.0,1,2,1,1,0,0,0,3,2,1,64,2
5636,5637,2,1,1,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,1,1,0,0,0,0,1,1,0,50,25
5637,5638,11,9,2,0,0,0.0,0.0,0.182,0.818,2,2,0.182,0.182,0,0,0,0,4,0,0,11,0,7,87,8
5638,5639,3,1,2,1,1,0.333,0.333,0.667,0.333,3,1,1.0,0.333,1,1,0,2,0,0,0,1,2,0,6,2
5639,5640,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,6,6
5640,5641,2,2,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,0.5,0,0,0,2,0,0,0,0,2,0,21,17
5641,5642,5,2,3,2,1,0.4,0.2,0.6,0.4,4,1,0.8,0.2,2,0,0,3,1,0,0,1,4,1,31,2
5642,5643,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,15,15
5643,5644,13,9,4,2,0,0.154,0.0,0.308,0.692,3,0,0.231,0.0,0,4,0,2,2,1,2,9,4,2,164,2
5644,5645,13,8,5,4,5,0.308,0.385,0.385,0.615,6,5,0.462,0.385,4,4,0,3,4,0,0,8,5,2,117,3
5645,5646,38,32,6,3,7,0.079,0.184,0.158,0.842,9,10,0.237,0.263,2,1,0,7,27,0,0,30,8,3,150,2
5646,5647,6,4,2,1,1,0.167,0.167,0.333,0.667,1,1,0.167,0.167,0,1,0,0,0,0,0,6,0,5,39,6
5647,5648,4,4,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,0.25,0,0,0,4,0,0,0,0,4,0,53,36
5648,5649,3,2,1,0,1,0.0,0.333,0.333,0.667,1,2,0.333,0.667,0,1,0,0,2,0,0,3,0,0,23,11
5649,5650,4,1,3,1,0,0.25,0.0,0.75,0.25,3,1,0.75,0.25,1,0,0,4,0,0,0,0,4,0,21,6
5650,5651,4,3,1,0,0,0.0,0.0,0.25,0.75,0,0,0.0,0.0,0,1,0,0,2,0,0,4,0,1,90,22
5651,5652,9,4,5,1,0,0.111,0.0,0.556,0.444,1,0,0.111,0.0,0,1,0,2,0,0,0,1,8,6,50,4
5652,5653,3,0,3,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,0,3,0,2,30,30
5653,5654,4,2,2,0,0,0.0,0.0,0.5,0.5,1,0,0.25,0.0,0,1,0,0,0,0,0,3,1,3,89,12
5654,5655,2,1,1,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.0,0,1,0,0,1,0,0,2,0,0,62,10
5655,5656,4,4,0,0,0,0.0,0.0,0.0,1.0,0,2,0.0,0.5,0,0,0,3,0,0,0,0,4,1,34,25
5656,5657,9,8,1,1,2,0.111,0.222,0.111,0.889,3,4,0.333,0.444,0,0,0,0,3,0,0,8,1,6,52,5
5657,5658,5,4,1,1,0,0.2,0.0,0.2,0.8,1,0,0.2,0.0,1,0,0,1,4,0,0,4,1,0,42,2
5658,5659,2,1,1,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.0,0,0,1,0,0,0,0,1,1,1,88,11
5659,5660,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,0,0,0,0,0,1,1,1,1,0,6,6
5660,5661,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,63,63
5661,5662,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,24,24
5662,5663,6,3,3,1,2,0.167,0.333,0.5,0.5,2,3,0.333,0.5,1,1,0,3,1,0,0,2,4,1,104,2
5663,5664,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,7,7
5664,5665,2,0,2,0,0,0.0,0.0,1.0,0.0,2,0,1.0,0.0,0,0,0,2,0,0,0,0,2,0,10,10
5665,5666,2,0,2,0,0,0.0,0.0,1.0,0.0,2,0,1.0,0.0,0,0,0,0,1,0,0,2,0,1,11,11
5666,5667,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,19,19
