PROSPECTID,Actual_Risk_Grade
CUST101746,3
CUST101747,0
CUST101748,1
CUST101749,2
CUST101750,1
CUST101751,1
CUST101752,1
CUST101753,2
CUST101754,1
CUST101755,1
CUST101756,2
CUST101757,1
CUST101758,1
CUST101759,1
CUST101760,1
CUST101761,1
CUST101762,0
CUST101763,1
CUST101764,1
CUST101765,1
CUST101766,0
CUST101767,2
CUST101768,0
CUST101769,1
CUST101770,1
CUST101771,3
CUST101772,1
CUST101773,1
CUST101774,2
CUST101775,0
CUST101776,0
CUST101777,0
CUST101778,3
CUST101779,3
CUST101780,1
CUST101781,2
CUST101782,0
CUST101783,1
CUST101784,1
CUST101785,0
CUST101786,1
CUST101787,1
CUST101788,1
CUST101789,2
CUST101790,2
CUST101791,1
CUST101792,3
CUST101793,1
CUST101794,1
CUST101795,1
CUST101796,3
CUST101797,1
CUST101798,1
CUST101799,2
CUST101800,2
CUST101801,1
CUST101802,1
CUST101803,0
CUST101804,1
CUST101805,0
CUST101806,0
CUST101807,1
CUST101808,2
CUST101809,1
CUST101810,1
CUST101811,1
CUST101812,0
CUST101813,1
CUST101814,3
CUST101815,1
CUST101816,1
CUST101817,1
CUST101818,1
CUST101819,3
CUST101820,1
CUST101821,1
CUST101822,1
CUST101823,1
CUST101824,1
CUST101825,1
CUST101826,1
CUST101827,3
CUST101828,3
CUST101829,1
CUST101830,3
CUST101831,0
CUST101832,2
CUST101833,1
CUST101834,0
CUST101835,3
CUST101836,3
CUST101837,0
CUST101838,1
CUST101839,3
CUST101840,1
CUST101841,1
CUST101842,0
CUST101843,1
CUST101844,2
CUST101845,3
CUST101846,1
CUST101847,1
CUST101848,1
CUST101849,1
CUST101850,3
CUST101851,1
CUST101852,1
CUST101853,1
CUST101854,3
CUST101855,1
CUST101856,1
CUST101857,3
CUST101858,1
CUST101859,1
CUST101860,1
CUST101861,1
CUST101862,1
CUST101863,1
CUST101864,1
CUST101865,1
CUST101866,2
CUST101867,1
CUST101868,2
CUST101869,2
CUST101870,1
CUST101871,2
CUST101872,1
CUST101873,0
CUST101874,1
CUST101875,1
CUST101876,1
CUST101877,1
CUST101878,1
CUST101879,1
CUST101880,1
CUST101881,1
CUST101882,2
CUST101883,0
CUST101884,1
CUST101885,0
CUST101886,1
CUST101887,1
CUST101888,3
CUST101889,1
CUST101890,1
CUST101891,3
CUST101892,1
CUST101893,1
CUST101894,1
CUST101895,1
CUST101896,0
CUST101897,2
CUST101898,3
CUST101899,0
CUST101900,1
CUST101901,0
CUST101902,1
CUST101903,1
CUST101904,2
CUST101905,1
CUST101906,0
CUST101907,0
CUST101908,1
CUST101909,0
CUST101910,1
CUST101911,3
CUST101912,1
CUST101913,1
CUST101914,1
CUST101915,1
CUST101916,3
CUST101917,0
CUST101918,0
CUST101919,2
CUST101920,0
CUST101921,1
CUST101922,1
CUST101923,2
CUST101924,2
CUST101925,3
CUST101926,1
CUST101927,2
CUST101928,3
CUST101929,1
CUST101930,1
CUST101931,0
CUST101932,1
CUST101933,2
CUST101934,1
CUST101935,0
CUST101936,1
CUST101937,0
CUST101938,2
CUST101939,2
CUST101940,1
CUST101941,0
CUST101942,2
CUST101943,1
CUST101944,0
CUST101945,0
CUST101946,1
CUST101947,1
CUST101948,1
CUST101949,1
CUST101950,0
CUST101951,0
CUST101952,2
CUST101953,1
CUST101954,1
CUST101955,1
CUST101956,1
CUST101957,1
CUST101958,1
CUST101959,1
CUST101960,3
CUST101961,1
CUST101962,1
CUST101963,0
CUST101964,1
CUST101965,1
CUST101966,1
CUST101967,2
CUST101968,3
CUST101969,1
CUST101970,1
CUST101971,1
CUST101972,3
CUST101973,1
CUST101974,3
CUST101975,1
CUST101976,2
CUST101977,0
CUST101978,1
CUST101979,0
CUST101980,0
CUST101981,1
CUST101982,3
CUST101983,1
CUST101984,1
CUST101985,3
CUST101986,1
CUST101987,3
CUST101988,3
CUST101989,1
CUST101990,1
CUST101991,1
CUST101992,2
CUST101993,0
CUST101994,1
CUST101995,1
CUST101996,1
CUST101997,1
CUST101998,1
CUST101999,1
CUST102000,1
CUST102001,1
CUST102002,1
CUST102003,1
CUST102004,1
CUST102005,1
CUST102006,1
CUST102007,1
CUST102008,0
CUST102009,2
CUST102010,1
CUST102011,1
CUST102012,1
CUST102013,0
CUST102014,1
CUST102015,1
CUST102016,1
CUST102017,1
CUST102018,1
CUST102019,1
CUST102020,1
CUST102021,1
CUST102022,1
CUST102023,1
CUST102024,1
CUST102025,1
CUST102026,1
CUST102027,0
CUST102028,1
CUST102029,1
CUST102030,1
CUST102031,0
CUST102032,1
CUST102033,1
CUST102034,2
CUST102035,3
CUST102036,1
CUST102037,2
CUST102038,0
CUST102039,2
CUST102040,0
CUST102041,1
CUST102042,1
CUST102043,2
CUST102044,0
CUST102045,1
CUST102046,1
CUST102047,1
CUST102048,1
CUST102049,1
CUST102050,2
CUST102051,1
CUST102052,1
CUST102053,1
CUST102054,1
CUST102055,3
CUST102056,1
CUST102057,3
CUST102058,1
CUST102059,1
CUST102060,2
CUST102061,1
CUST102062,3
CUST102063,1
CUST102064,2
CUST102065,1
CUST102066,0
CUST102067,3
CUST102068,1
CUST102069,1
CUST102070,0
CUST102071,2
CUST102072,1
CUST102073,1
CUST102074,2
CUST102075,1
CUST102076,1
CUST102077,1
CUST102078,2
CUST102079,0
CUST102080,1
CUST102081,1
CUST102082,1
CUST102083,3
CUST102084,1
CUST102085,1
CUST102086,3
CUST102087,3
CUST102088,2
CUST102089,2
CUST102090,1
CUST102091,1
CUST102092,0
CUST102093,3
CUST102094,1
CUST102095,1
CUST102096,1
CUST102097,1
CUST102098,1
CUST102099,1
CUST102100,3
CUST102101,1
CUST102102,1
CUST102103,1
CUST102104,1
CUST102105,3
CUST102106,2
CUST102107,3
CUST102108,1
CUST102109,2
CUST102110,1
CUST102111,2
CUST102112,1
CUST102113,1
CUST102114,0
CUST102115,2
CUST102116,1
CUST102117,2
CUST102118,3
CUST102119,1
CUST102120,3
CUST102121,3
CUST102122,1
CUST102123,1
CUST102124,3
CUST102125,2
CUST102126,2
CUST102127,1
CUST102128,2
CUST102129,1
CUST102130,1
CUST102131,1
CUST102132,1
CUST102133,1
CUST102134,3
CUST102135,1
CUST102136,1
CUST102137,1
CUST102138,2
CUST102139,1
CUST102140,1
CUST102141,1
CUST102142,1
CUST102143,2
CUST102144,1
CUST102145,1
CUST102146,0
CUST102147,2
CUST102148,1
CUST102149,1
CUST102150,1
CUST102151,3
CUST102152,0
CUST102153,1
CUST102154,1
CUST102155,1
CUST102156,2
CUST102157,1
CUST102158,1
CUST102159,1
CUST102160,0
CUST102161,0
CUST102162,1
CUST102163,1
CUST102164,0
CUST102165,0
CUST102166,3
CUST102167,1
CUST102168,3
CUST102169,3
CUST102170,2
CUST102171,1
CUST102172,2
CUST102173,2
CUST102174,2
CUST102175,1
CUST102176,1
CUST102177,2
CUST102178,2
CUST102179,3
CUST102180,1
CUST102181,1
CUST102182,1
CUST102183,1
CUST102184,1
CUST102185,1
CUST102186,0
CUST102187,1
CUST102188,0
CUST102189,3
CUST102190,1
CUST102191,3
CUST102192,1
CUST102193,1
CUST102194,1
CUST102195,1
CUST102196,1
CUST102197,1
CUST102198,3
CUST102199,1
CUST102200,3
CUST102201,2
CUST102202,1
CUST102203,3
CUST102204,0
CUST102205,2
CUST102206,0
CUST102207,1
CUST102208,1
CUST102209,1
CUST102210,1
CUST102211,3
CUST102212,1
CUST102213,0
CUST102214,0
CUST102215,1
CUST102216,1
CUST102217,0
CUST102218,1
CUST102219,3
CUST102220,3
CUST102221,1
CUST102222,2
CUST102223,1
CUST102224,0
CUST102225,0
CUST102226,3
CUST102227,1
CUST102228,1
CUST102229,2
CUST102230,3
CUST102231,1
CUST102232,1
CUST102233,1
CUST102234,1
CUST102235,1
CUST102236,1
CUST102237,1
CUST102238,1
CUST102239,1
CUST102240,2
CUST102241,0
CUST102242,0
CUST102243,1
CUST102244,1
CUST102245,1
CUST102246,3
CUST102247,3
CUST102248,1
CUST102249,1
CUST102250,1
CUST102251,1
CUST102252,1
CUST102253,1
CUST102254,2
CUST102255,2
CUST102256,3
CUST102257,2
CUST102258,1
CUST102259,3
CUST102260,1
CUST102261,1
CUST102262,1
CUST102263,0
CUST102264,1
CUST102265,1
CUST102266,1
CUST102267,1
CUST102268,3
CUST102269,1
CUST102270,1
CUST102271,0
CUST102272,1
CUST102273,1
CUST102274,1
CUST102275,1
CUST102276,2
CUST102277,1
CUST102278,1
CUST102279,3
CUST102280,1
CUST102281,1
CUST102282,1
CUST102283,1
CUST102284,3
CUST102285,0
CUST102286,1
CUST102287,1
CUST102288,1
CUST102289,1
CUST102290,2
CUST102291,1
CUST102292,1
CUST102293,1
CUST102294,2
CUST102295,1
CUST102296,2
CUST102297,1
CUST102298,2
CUST102299,1
CUST102300,0
CUST102301,0
CUST102302,1
CUST102303,1
CUST102304,1
CUST102305,1
CUST102306,1
CUST102307,1
CUST102308,0
CUST102309,1
CUST102310,2
CUST102311,1
CUST102312,0
CUST102313,1
CUST102314,3
CUST102315,1
CUST102316,1
CUST102317,1
CUST102318,1
CUST102319,0
CUST102320,1
CUST102321,0
CUST102322,1
CUST102323,1
CUST102324,3
CUST102325,1
CUST102326,3
CUST102327,1
CUST102328,1
CUST102329,1
CUST102330,1
CUST102331,1
CUST102332,1
CUST102333,1
CUST102334,1
CUST102335,2
CUST102336,1
CUST102337,1
CUST102338,1
CUST102339,1
CUST102340,1
CUST102341,1
CUST102342,2
CUST102343,1
CUST102344,1
CUST102345,1
CUST102346,3
CUST102347,3
CUST102348,3
CUST102349,1
CUST102350,1
CUST102351,1
CUST102352,1
CUST102353,0
CUST102354,3
CUST102355,0
CUST102356,2
CUST102357,1
CUST102358,0
CUST102359,2
CUST102360,1
CUST102361,0
CUST102362,3
CUST102363,0
CUST102364,1
CUST102365,1
CUST102366,1
CUST102367,0
CUST102368,1
CUST102369,3
CUST102370,1
CUST102371,1
CUST102372,1
CUST102373,1
CUST102374,3
CUST102375,1
CUST102376,0
CUST102377,1
CUST102378,1
CUST102379,1
CUST102380,1
CUST102381,0
CUST102382,3
CUST102383,1
CUST102384,1
CUST102385,1
CUST102386,1
CUST102387,1
CUST102388,1
CUST102389,1
CUST102390,0
CUST102391,2
CUST102392,2
CUST102393,2
CUST102394,1
CUST102395,1
CUST102396,1
CUST102397,3
CUST102398,1
CUST102399,2
CUST102400,1
CUST102401,3
CUST102402,0
CUST102403,1
CUST102404,1
CUST102405,1
CUST102406,1
CUST102407,0
CUST102408,1
CUST102409,3
CUST102410,0
CUST102411,1
CUST102412,1
CUST102413,1
CUST102414,1
CUST102415,0
CUST102416,1
CUST102417,1
CUST102418,1
CUST102419,3
CUST102420,0
CUST102421,2
CUST102422,1
CUST102423,1
CUST102424,3
CUST102425,0
CUST102426,1
CUST102427,1
CUST102428,1
CUST102429,3
CUST102430,1
CUST102431,1
CUST102432,1
CUST102433,0
CUST102434,3
CUST102435,1
CUST102436,3
CUST102437,2
CUST102438,1
CUST102439,2
CUST102440,3
CUST102441,1
CUST102442,1
CUST102443,1
CUST102444,1
CUST102445,1
CUST102446,1
CUST102447,3
CUST102448,1
CUST102449,1
CUST102450,1
CUST102451,3
CUST102452,1
CUST102453,0
CUST102454,0
CUST102455,1
CUST102456,1
CUST102457,1
CUST102458,1
CUST102459,1
CUST102460,1
CUST102461,1
CUST102462,2
CUST102463,1
CUST102464,1
CUST102465,1
CUST102466,0
CUST102467,1
CUST102468,2
CUST102469,2
CUST102470,1
CUST102471,0
CUST102472,0
CUST102473,1
CUST102474,0
CUST102475,1
CUST102476,1
CUST102477,1
CUST102478,2
CUST102479,1
CUST102480,2
CUST102481,1
CUST102482,0
CUST102483,1
CUST102484,1
CUST102485,1
CUST102486,1
CUST102487,1
CUST102488,1
CUST102489,0
CUST102490,2
CUST102491,3
CUST102492,3
CUST102493,1
CUST102494,0
CUST102495,2
CUST102496,1
CUST102497,1
CUST102498,0
CUST102499,1
CUST102500,1
CUST102501,2
CUST102502,2
CUST102503,1
CUST102504,1
CUST102505,1
CUST102506,1
CUST102507,1
CUST102508,1
CUST102509,1
CUST102510,3
CUST102511,1
CUST102512,1
CUST102513,1
CUST102514,1
CUST102515,1
CUST102516,1
CUST102517,1
CUST102518,0
CUST102519,3
CUST102520,1
CUST102521,0
CUST102522,3
CUST102523,1
CUST102524,1
CUST102525,3
CUST102526,1
CUST102527,2
CUST102528,0
CUST102529,1
CUST102530,1
CUST102531,1
CUST102532,3
CUST102533,1
CUST102534,1
CUST102535,1
CUST102536,0
CUST102537,3
CUST102538,3
CUST102539,0
CUST102540,0
CUST102541,0
CUST102542,1
CUST102543,1
CUST102544,1
CUST102545,1
CUST102546,1
CUST102547,1
CUST102548,1
CUST102549,1
CUST102550,0
CUST102551,1
CUST102552,1
CUST102553,1
CUST102554,1
CUST102555,1
CUST102556,0
CUST102557,1
CUST102558,3
CUST102559,2
CUST102560,1
CUST102561,0
CUST102562,1
CUST102563,1
CUST102564,2
CUST102565,3
CUST102566,2
CUST102567,1
CUST102568,1
CUST102569,0
CUST102570,2
CUST102571,1
CUST102572,1
CUST102573,2
CUST102574,0
CUST102575,1
CUST102576,3
CUST102577,3
CUST102578,1
CUST102579,1
CUST102580,2
CUST102581,0
CUST102582,1
CUST102583,1
CUST102584,0
CUST102585,1
CUST102586,1
CUST102587,1
CUST102588,1
CUST102589,1
CUST102590,0
CUST102591,3
CUST102592,3
CUST102593,1
CUST102594,1
CUST102595,2
CUST102596,1
CUST102597,2
CUST102598,2
CUST102599,1
CUST102600,1
CUST102601,1
CUST102602,3
CUST102603,1
CUST102604,3
CUST102605,1
CUST102606,0
CUST102607,3
CUST102608,0
CUST102609,1
CUST102610,2
CUST102611,1
CUST102612,3
CUST102613,1
CUST102614,1
CUST102615,1
CUST102616,0
CUST102617,1
CUST102618,1
CUST102619,0
CUST102620,3
CUST102621,0
CUST102622,2
CUST102623,1
CUST102624,1
CUST102625,1
CUST102626,1
CUST102627,1
CUST102628,0
CUST102629,2
CUST102630,1
CUST102631,3
CUST102632,1
CUST102633,2
CUST102634,1
CUST102635,3
CUST102636,1
CUST102637,1
CUST102638,1
CUST102639,2
CUST102640,1
CUST102641,1
CUST102642,1
CUST102643,1
CUST102644,3
CUST102645,1
CUST102646,3
CUST102647,3
CUST102648,3
CUST102649,1
CUST102650,2
CUST102651,1
CUST102652,1
CUST102653,1
CUST102654,1
CUST102655,2
CUST102656,0
CUST102657,0
CUST102658,1
CUST102659,0
CUST102660,1
CUST102661,1
CUST102662,1
CUST102663,3
CUST102664,0
CUST102665,0
CUST102666,3
CUST102667,1
CUST102668,3
CUST102669,1
CUST102670,1
CUST102671,1
CUST102672,1
CUST102673,0
CUST102674,0
CUST102675,0
CUST102676,1
CUST102677,1
CUST102678,1
CUST102679,1
CUST102680,3
CUST102681,1
CUST102682,2
CUST102683,1
CUST102684,2
CUST102685,0
CUST102686,1
CUST102687,1
CUST102688,1
CUST102689,1
CUST102690,3
CUST102691,2
CUST102692,1
CUST102693,0
CUST102694,2
CUST102695,1
CUST102696,3
CUST102697,3
CUST102698,2
CUST102699,1
CUST102700,1
CUST102701,3
CUST102702,1
CUST102703,1
CUST102704,1
CUST102705,2
CUST102706,0
CUST102707,3
CUST102708,3
CUST102709,1
CUST102710,1
CUST102711,1
CUST102712,1
CUST102713,1
CUST102714,1
CUST102715,1
CUST102716,1
CUST102717,2
CUST102718,1
CUST102719,2
CUST102720,0
CUST102721,1
CUST102722,1
CUST102723,1
CUST102724,1
CUST102725,2
CUST102726,1
CUST102727,1
CUST102728,2
CUST102729,1
CUST102730,0
CUST102731,2
CUST102732,1
CUST102733,1
CUST102734,0
CUST102735,1
CUST102736,3
CUST102737,2
CUST102738,2
CUST102739,3
CUST102740,1
CUST102741,1
CUST102742,3
CUST102743,2
CUST102744,1
CUST102745,0
CUST102746,1
CUST102747,1
CUST102748,1
CUST102749,3
CUST102750,3
CUST102751,1
CUST102752,1
CUST102753,1
CUST102754,0
CUST102755,3
CUST102756,1
CUST102757,3
CUST102758,0
CUST102759,1
CUST102760,2
CUST102761,0
CUST102762,3
CUST102763,1
CUST102764,0
CUST102765,1
CUST102766,2
CUST102767,2
CUST102768,2
CUST102769,0
CUST102770,2
CUST102771,1
CUST102772,1
CUST102773,2
CUST102774,1
CUST102775,2
CUST102776,1
CUST102777,0
CUST102778,1
CUST102779,1
CUST102780,1
CUST102781,1
CUST102782,2
CUST102783,1
CUST102784,1
CUST102785,2
CUST102786,1
CUST102787,3
CUST102788,3
CUST102789,3
CUST102790,3
CUST102791,1
CUST102792,2
CUST102793,1
CUST102794,1
CUST102795,2
CUST102796,0
CUST102797,1
CUST102798,1
CUST102799,1
CUST102800,1
CUST102801,1
CUST102802,1
CUST102803,2
CUST102804,1
CUST102805,1
CUST102806,2
CUST102807,1
CUST102808,1
CUST102809,1
CUST102810,2
CUST102811,1
CUST102812,1
CUST102813,1
CUST102814,2
CUST102815,1
CUST102816,0
CUST102817,2
CUST102818,1
CUST102819,3
CUST102820,1
CUST102821,1
CUST102822,1
CUST102823,1
CUST102824,1
CUST102825,1
CUST102826,3
CUST102827,0
CUST102828,2
CUST102829,2
CUST102830,1
CUST102831,1
CUST102832,1
CUST102833,0
CUST102834,1
CUST102835,1
CUST102836,1
CUST102837,1
CUST102838,0
CUST102839,1
CUST102840,1
CUST102841,3
CUST102842,2
CUST102843,3
CUST102844,1
CUST102845,1
CUST102846,1
CUST102847,1
CUST102848,2
CUST102849,3
CUST102850,1
CUST102851,2
CUST102852,1
CUST102853,1
CUST102854,0
CUST102855,0
CUST102856,3
CUST102857,1
CUST102858,3
CUST102859,2
CUST102860,1
CUST102861,1
CUST102862,2
CUST102863,3
CUST102864,0
CUST102865,1
CUST102866,1
CUST102867,2
CUST102868,1
CUST102869,0
CUST102870,1
CUST102871,1
CUST102872,1
CUST102873,2
CUST102874,2
CUST102875,1
CUST102876,1
CUST102877,0
CUST102878,1
CUST102879,0
CUST102880,2
CUST102881,2
CUST102882,1
CUST102883,1
CUST102884,1
CUST102885,1
CUST102886,1
CUST102887,1
CUST102888,1
CUST102889,1
CUST102890,3
CUST102891,1
CUST102892,2
CUST102893,3
CUST102894,1
CUST102895,0
CUST102896,1
CUST102897,1
CUST102898,1
CUST102899,1
CUST102900,1
CUST102901,1
CUST102902,1
CUST102903,1
CUST102904,1
CUST102905,3
CUST102906,1
CUST102907,1
CUST102908,1
CUST102909,1
CUST102910,3
CUST102911,1
CUST102912,1
CUST102913,1
CUST102914,3
CUST102915,3
CUST102916,3
CUST102917,2
CUST102918,1
CUST102919,1
CUST102920,1
CUST102921,1
CUST102922,0
CUST102923,3
CUST102924,1
CUST102925,2
CUST102926,2
CUST102927,2
CUST102928,2
CUST102929,1
CUST102930,1
CUST102931,1
CUST102932,1
CUST102933,2
CUST102934,3
CUST102935,1
CUST102936,2
CUST102937,1
CUST102938,1
CUST102939,3
CUST102940,1
CUST102941,1
CUST102942,1
CUST102943,1
CUST102944,2
CUST102945,1
CUST102946,1
CUST102947,0
CUST102948,1
CUST102949,0
CUST102950,0
CUST102951,0
CUST102952,0
CUST102953,0
CUST102954,1
CUST102955,1
CUST102956,3
CUST102957,1
CUST102958,2
CUST102959,1
CUST102960,2
CUST102961,1
CUST102962,1
CUST102963,1
CUST102964,1
CUST102965,1
CUST102966,1
CUST102967,1
CUST102968,0
CUST102969,1
CUST102970,1
CUST102971,1
CUST102972,1
CUST102973,1
CUST102974,2
CUST102975,3
CUST102976,1
CUST102977,2
CUST102978,1
CUST102979,1
CUST102980,1
CUST102981,2
CUST102982,1
CUST102983,1
CUST102984,2
CUST102985,1
CUST102986,3
CUST102987,1
CUST102988,0
CUST102989,1
CUST102990,0
CUST102991,1
CUST102992,1
CUST102993,0
CUST102994,3
CUST102995,1
CUST102996,1
CUST102997,1
CUST102998,1
CUST102999,1
CUST103000,0
CUST103001,1
CUST103002,1
CUST103003,1
CUST103004,3
CUST103005,1
CUST103006,1
CUST103007,3
CUST103008,1
CUST103009,3
CUST103010,1
CUST103011,1
CUST103012,1
CUST103013,0
CUST103014,1
CUST103015,2
CUST103016,3
CUST103017,1
CUST103018,1
CUST103019,1
CUST103020,2
CUST103021,2
CUST103022,1
CUST103023,2
CUST103024,1
CUST103025,1
CUST103026,1
CUST103027,1
CUST103028,1
CUST103029,0
CUST103030,1
CUST103031,3
CUST103032,1
CUST103033,1
CUST103034,2
CUST103035,3
CUST103036,1
CUST103037,2
CUST103038,1
CUST103039,1
CUST103040,1
CUST103041,1
CUST103042,2
CUST103043,1
CUST103044,3
CUST103045,1
CUST103046,1
CUST103047,3
CUST103048,2
CUST103049,0
CUST103050,3
CUST103051,1
CUST103052,1
CUST103053,1
CUST103054,1
CUST103055,3
CUST103056,1
CUST103057,1
CUST103058,1
CUST103059,2
CUST103060,2
CUST103061,1
CUST103062,1
CUST103063,1
CUST103064,1
CUST103065,2
CUST103066,1
CUST103067,1
CUST103068,1
CUST103069,3
CUST103070,3
CUST103071,1
CUST103072,1
CUST103073,2
CUST103074,1
CUST103075,1
CUST103076,1
CUST103077,1
CUST103078,1
CUST103079,2
CUST103080,1
CUST103081,1
CUST103082,1
CUST103083,1
CUST103084,1
CUST103085,1
CUST103086,1
CUST103087,1
CUST103088,1
CUST103089,0
CUST103090,0
CUST103091,1
CUST103092,2
CUST103093,2
CUST103094,1
CUST103095,1
CUST103096,0
CUST103097,1
CUST103098,2
CUST103099,3
CUST103100,2
CUST103101,1
CUST103102,1
CUST103103,1
CUST103104,1
CUST103105,1
CUST103106,1
CUST103107,3
CUST103108,3
CUST103109,1
CUST103110,1
CUST103111,1
CUST103112,2
CUST103113,1
CUST103114,1
CUST103115,3
CUST103116,3
CUST103117,1
CUST103118,1
CUST103119,1
CUST103120,1
CUST103121,2
CUST103122,1
CUST103123,1
CUST103124,0
CUST103125,0
CUST103126,2
CUST103127,1
CUST103128,0
CUST103129,1
CUST103130,1
CUST103131,2
CUST103132,1
CUST103133,1
CUST103134,3
CUST103135,1
CUST103136,2
CUST103137,1
CUST103138,1
CUST103139,2
CUST103140,2
CUST103141,3
CUST103142,1
CUST103143,1
CUST103144,1
CUST103145,1
CUST103146,0
CUST103147,1
CUST103148,0
CUST103149,1
CUST103150,1
CUST103151,3
CUST103152,1
CUST103153,1
CUST103154,1
CUST103155,1
CUST103156,0
CUST103157,0
CUST103158,2
CUST103159,1
CUST103160,1
CUST103161,1
CUST103162,2
CUST103163,1
CUST103164,2
CUST103165,1
CUST103166,1
CUST103167,3
CUST103168,1
CUST103169,1
CUST103170,3
CUST103171,1
CUST103172,3
CUST103173,1
CUST103174,1
CUST103175,1
CUST103176,0
CUST103177,0
CUST103178,1
CUST103179,2
CUST103180,1
CUST103181,3
CUST103182,1
CUST103183,1
CUST103184,1
CUST103185,1
CUST103186,0
CUST103187,0
CUST103188,3
CUST103189,1
CUST103190,0
CUST103191,0
CUST103192,1
CUST103193,1
CUST103194,1
CUST103195,1
CUST103196,0
CUST103197,0
CUST103198,1
CUST103199,1
CUST103200,1
CUST103201,1
CUST103202,1
CUST103203,1
CUST103204,1
CUST103205,3
CUST103206,1
CUST103207,1
CUST103208,1
CUST103209,1
CUST103210,2
CUST103211,0
CUST103212,0
CUST103213,2
CUST103214,1
CUST103215,2
CUST103216,1
CUST103217,1
CUST103218,0
CUST103219,1
CUST103220,3
CUST103221,1
CUST103222,0
CUST103223,1
CUST103224,1
CUST103225,2
CUST103226,1
CUST103227,1
CUST103228,1
CUST103229,3
CUST103230,1
CUST103231,1
CUST103232,1
CUST103233,1
CUST103234,1
CUST103235,0
CUST103236,2
CUST103237,1
CUST103238,1
CUST103239,1
CUST103240,3
CUST103241,0
CUST103242,1
CUST103243,0
CUST103244,3
CUST103245,1
CUST103246,2
CUST103247,0
CUST103248,0
CUST103249,1
CUST103250,2
CUST103251,1
CUST103252,3
CUST103253,1
CUST103254,2
CUST103255,1
CUST103256,2
CUST103257,0
CUST103258,1
CUST103259,1
CUST103260,2
CUST103261,1
CUST103262,1
CUST103263,1
CUST103264,3
CUST103265,1
CUST103266,1
CUST103267,1
CUST103268,3
CUST103269,1
CUST103270,1
CUST103271,1
CUST103272,2
CUST103273,1
CUST103274,1
CUST103275,1
CUST103276,1
CUST103277,1
CUST103278,1
CUST103279,1
CUST103280,1
CUST103281,2
CUST103282,1
CUST103283,0
CUST103284,3
CUST103285,1
CUST103286,2
CUST103287,1
CUST103288,1
CUST103289,3
CUST103290,1
CUST103291,1
CUST103292,3
CUST103293,2
CUST103294,2
CUST103295,1
CUST103296,0
CUST103297,1
CUST103298,1
CUST103299,1
CUST103300,0
CUST103301,1
CUST103302,1
CUST103303,1
CUST103304,1
CUST103305,1
CUST103306,1
CUST103307,1
CUST103308,0
CUST103309,1
CUST103310,1
CUST103311,3
CUST103312,1
CUST103313,1
CUST103314,0
CUST103315,1
CUST103316,1
CUST103317,3
CUST103318,1
CUST103319,1
CUST103320,1
CUST103321,1
CUST103322,1
CUST103323,1
CUST103324,1
CUST103325,3
CUST103326,0
CUST103327,3
CUST103328,1
CUST103329,1
CUST103330,1
CUST103331,1
CUST103332,1
CUST103333,1
CUST103334,0
CUST103335,1
CUST103336,3
CUST103337,1
CUST103338,1
CUST103339,1
CUST103340,3
CUST103341,1
CUST103342,1
CUST103343,1
CUST103344,1
CUST103345,1
CUST103346,1
CUST103347,1
CUST103348,1
CUST103349,1
CUST103350,0
CUST103351,3
CUST103352,1
CUST103353,0
CUST103354,1
CUST103355,1
CUST103356,0
CUST103357,1
CUST103358,1
CUST103359,1
CUST103360,1
CUST103361,2
CUST103362,1
CUST103363,1
CUST103364,1
CUST103365,2
CUST103366,1
CUST103367,1
CUST103368,1
CUST103369,1
CUST103370,0
CUST103371,2
CUST103372,3
CUST103373,1
CUST103374,1
CUST103375,1
CUST103376,1
CUST103377,1
CUST103378,1
CUST103379,1
CUST103380,1
CUST103381,1
CUST103382,0
CUST103383,0
CUST103384,1
CUST103385,1
CUST103386,1
CUST103387,1
CUST103388,1
CUST103389,2
CUST103390,0
CUST103391,2
CUST103392,1
CUST103393,3
CUST103394,1
CUST103395,1
CUST103396,1
CUST103397,1
CUST103398,1
CUST103399,1
CUST103400,1
CUST103401,0
CUST103402,1
CUST103403,1
CUST103404,3
CUST103405,1
CUST103406,1
CUST103407,1
CUST103408,1
CUST103409,1
CUST103410,3
CUST103411,1
CUST103412,2
CUST103413,1
CUST103414,0
CUST103415,1
CUST103416,3
CUST103417,1
CUST103418,1
CUST103419,1
CUST103420,0
CUST103421,1
CUST103422,2
CUST103423,2
CUST103424,1
CUST103425,2
CUST103426,1
CUST103427,2
CUST103428,1
CUST103429,1
CUST103430,1
CUST103431,1
CUST103432,1
CUST103433,0
CUST103434,1
CUST103435,0
CUST103436,2
CUST103437,2
CUST103438,1
CUST103439,0
CUST103440,1
CUST103441,3
CUST103442,3
CUST103443,1
CUST103444,1
CUST103445,1
CUST103446,1
CUST103447,2
CUST103448,1
CUST103449,3
CUST103450,1
CUST103451,3
CUST103452,1
CUST103453,1
CUST103454,1
CUST103455,1
CUST103456,3
CUST103457,1
CUST103458,1
CUST103459,2
CUST103460,2
CUST103461,2
CUST103462,1
CUST103463,1
CUST103464,0
CUST103465,1
CUST103466,1
CUST103467,0
CUST103468,1
CUST103469,1
CUST103470,1
CUST103471,3
CUST103472,1
CUST103473,2
CUST103474,1
CUST103475,1
CUST103476,1
CUST103477,2
CUST103478,3
CUST103479,1
CUST103480,1
CUST103481,1
CUST103482,1
CUST103483,1
CUST103484,3
CUST103485,1
CUST103486,1
CUST103487,1
CUST103488,1
CUST103489,1
CUST103490,2
CUST103491,2
CUST103492,1
